127.0.0.1, 2017-08-22 17:39:25, GET, /, HTTP/1.1, 303, 3.080165
127.0.0.1, 2017-08-22 17:39:27, GET, /welcome/default/index, HTTP/1.1, 200, 1.387966
127.0.0.1, 2017-08-22 17:39:27, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000844
127.0.0.1, 2017-08-22 17:39:27, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002418
127.0.0.1, 2017-08-22 17:39:27, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000446
127.0.0.1, 2017-08-22 17:39:27, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000714
127.0.0.1, 2017-08-22 17:39:27, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001737
127.0.0.1, 2017-08-22 17:39:27, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000411
127.0.0.1, 2017-08-22 17:39:27, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000402
127.0.0.1, 2017-08-22 17:39:27, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000379
127.0.0.1, 2017-08-22 17:39:27, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.004357
127.0.0.1, 2017-08-22 17:39:27, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000449
127.0.0.1, 2017-08-22 17:39:27, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000291
127.0.0.1, 2017-08-22 17:39:31, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001082
127.0.0.1, 2017-08-22 17:39:31, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000791
127.0.0.1, 2017-08-22 17:39:31, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000621
127.0.0.1, 2017-08-22 17:39:31, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000753
127.0.0.1, 2017-08-22 17:39:31, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000487
127.0.0.1, 2017-08-22 17:39:40, GET, /admin/default/site, HTTP/1.1, 303, 0.819878
127.0.0.1, 2017-08-22 17:39:40, GET, /admin/default/index, HTTP/1.1, 200, 0.126803
127.0.0.1, 2017-08-22 17:39:40, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000381
127.0.0.1, 2017-08-22 17:39:40, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000452
127.0.0.1, 2017-08-22 17:39:40, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001424
127.0.0.1, 2017-08-22 17:39:40, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000776
127.0.0.1, 2017-08-22 17:39:40, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2017-08-22 17:39:40, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001142
127.0.0.1, 2017-08-22 17:39:41, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001181
127.0.0.1, 2017-08-22 17:39:41, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000513
